Year,Area harvested (ha),Production (tonnes),Yield (hg/ha)
1961,4400,8000,18182
1962,4400,8000,18182
1963,2500,3000,12000
1964,2500,3000,12000
1965,2500,4000,16000
1966,2500,3000,12000
1967,2500,4000,16000
1968,3000,6000,20000
1969,3000,6000,20000
1970,2000,4000,20000
1971,1900,3500,18421
1972,1800,3200,17778
1973,1700,3000,17647
1974,1600,3300,20625
1975,1500,3100,20667
1976,1500,2800,18667
1977,1500,3250,21667
1978,1500,3000,20000
1979,1500,3000,20000
1980,2200,6000,27273
1981,4800,13000,27083
1982,6283,18197,28962
1983,6733,21612,32099
1984,7468,22996,30793
1985,7840,31422,40079
1986,11347,40930,36071
1987,8951,32957,36819
1988,10544,37821,35870
1989,12143,64009,52713
1990,15025,44482,29605
1991,17973,64486,35879
1992,22208,71237,32077
1993,25976,110819,42662
1994,28975,117218,40455
1995,32287,119218,36924
1996,35781,113185,31633
1997,41766,124196,29736
1998,45152,145145,32146
1999,50161,142906,28489
2000,51971,129276,24875
2001,61795,162838,26351
2002,67194,177673,26442
2003,74979,204883,27325
2004,88888,168320,18936
2005,96697,247864,25633
2006,146010,367445,25166
2007,119687,299789,25048
2008,115919,260355,22460
2009,116794,279742,23952
2010,117603,268135,22800
2011,112855,280275,24835
2012,124843,284421,22782
2013,109759,222610,20282
2014,141019,403158,28589
2015,142000,420000,29577
2016,71425,349192,48889
2017,53952,393598,72953
2018,43946,304040,69185
2019,44780,321074,71700
2020,59920,356666,59524